movie_id,primary_title,start_year,genres,person_id,category,job,primary_name
tt5218944,Grace After Midnight Pain,2016,Drama,nm0931324,producer,producer,Michael Kenneth Williams
tt0385887,Motherless Brooklyn,2019,"Crime,Drama",nm0066016,producer,producer,Michael Bederman
tt6371588,The Song of Sway Lake,2017,"Drama,Music,Romance",nm0066016,producer,producer,Michael Bederman
tt0385887,Motherless Brooklyn,2019,"Crime,Drama",nm0585958,producer,producer,Bill Migliore
tt0385887,Motherless Brooklyn,2019,"Crime,Drama",nm0698133,producer,producer,Gigi Pritzker
tt5737862,Landline,2017,"Comedy,Drama",nm0698133,producer,producer,Gigi Pritzker
tt0385887,Motherless Brooklyn,2019,"Crime,Drama",nm1247594,producer,producer,Rachel Shane
tt2404465,Troop Zero,2019,"Comedy,Drama,Family",nm0005494,producer,producer,Steve Tisch
tt3387542,The Forest,2016,"Horror,Mystery,Thriller",nm0333060,producer,producer,David S. Goyer
tt4357394,Tau,2018,"Sci-Fi,Thriller",nm0333060,producer,producer,David S. Goyer
tt5709188,A-X-L,2018,"Action,Adventure,Family",nm0333060,producer,producer,David S. Goyer
tt6205872,Assassination Nation,2018,"Action,Comedy,Crime",nm0333060,producer,producer,David S. Goyer
tt1987680,The Upside,2017,"Comedy,Drama",nm0085542,producer,producer,Todd Black
tt2404465,Troop Zero,2019,"Comedy,Drama,Family",nm0085542,producer,producer,Todd Black
tt2671706,Fences,2016,Drama,nm0085542,producer,producer,Todd Black
tt3766354,The Equalizer 2,2018,"Action,Crime,Thriller",nm0085542,producer,producer,Todd Black
tt6000478,"Roman J. Israel, Esq.",2017,"Crime,Drama,Thriller",nm0085542,producer,producer,Todd Black
tt10332130,Iron Mom,2019,"Action,Thriller",nm0089820,producer,producer,Jason Blumenthal
tt1987680,The Upside,2017,"Comedy,Drama",nm0089820,producer,producer,Jason Blumenthal
tt2404465,Troop Zero,2019,"Comedy,Drama,Family",nm0089820,producer,producer,Jason Blumenthal
tt3766354,The Equalizer 2,2018,"Action,Crime,Thriller",nm0089820,producer,producer,Jason Blumenthal
tt0427543,A Million Little Pieces,2018,Drama,nm2670366,producer,producer,Alex Heineman
tt1590193,The Commuter,2018,"Action,Mystery,Thriller",nm2670366,producer,producer,Alex Heineman
tt2531334,Keep Watching,2017,"Horror,Thriller",nm2670366,producer,producer,Alex Heineman
tt0427543,A Million Little Pieces,2018,Drama,nm0739868,producer,producer,Andrew Rona
tt1590193,The Commuter,2018,"Action,Mystery,Thriller",nm0739868,producer,producer,Andrew Rona
tt2531334,Keep Watching,2017,"Horror,Thriller",nm0739868,producer,producer,Andrew Rona
tt4244998,Alpha,2018,"Adventure,Drama,Family",nm0739868,producer,producer,Andrew Rona
tt0437086,Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",nm0484457,producer,producer,Jon Landau
tt7390646,Black and Blue,2019,"Action,Crime,Drama",nm1802864,producer,producer,Sean Sorensen
tt0438973,Sealand,2019,"Biography,Drama",nm1600883,producer,producer,Robert DiNozzi
tt5866526,Woven Threads,2018,"Animation,Documentary",nm0838283,producer,producer,Paul Sullivan
tt0443533,The History of Love,2016,"Drama,Romance,War",nm2275877,producer,producer,Xavier Rigault
tt6155084,K.O.,2017,Thriller,nm2275877,producer,producer,Xavier Rigault
tt6645154,The Brigade,2017,Drama,nm2275877,producer,producer,Xavier Rigault
tt9112776,Victor et Célia,2019,"Comedy,Drama",nm2275877,producer,producer,Xavier Rigault
tt0443533,The History of Love,2016,"Drama,Romance,War",nm2274042,producer,producer,Marc-Antoine Robert
tt6155084,K.O.,2017,Thriller,nm2274042,producer,producer,Marc-Antoine Robert
tt6645154,The Brigade,2017,Drama,nm2274042,producer,producer,Marc-Antoine Robert
tt9112776,Victor et Célia,2019,"Comedy,Drama",nm2274042,producer,producer,Marc-Antoine Robert
tt0446792,Surviving in L.A.,2019,"Comedy,Drama,Romance",nm1828872,producer,producer,Thomas Jaeger
tt0448115,Shazam!,2019,"Action,Adventure,Comedy",nm0755911,producer,producer,Peter Safran
tt1082807,The Belko Experiment,2016,"Horror,Thriller",nm0755911,producer,producer,Peter Safran
tt2039338,Flatliners,2017,"Drama,Horror,Mystery",nm0755911,producer,producer,Peter Safran
tt3065204,The Conjuring 2,2016,"Drama,Horror,Mystery",nm0755911,producer,producer,Peter Safran
tt3612320,Within,2016,"Horror,Thriller",nm0755911,producer,producer,Peter Safran
tt3707104,Mine,2016,"Action,Thriller,War",nm0755911,producer,producer,Peter Safran
tt3797868,The Choice,2016,"Drama,Romance",nm0755911,producer,producer,Peter Safran
tt4181782,The Crucifixion,2017,"Horror,Mystery,Thriller",nm0755911,producer,producer,Peter Safran
tt4670016,Wolves at the Door,2016,"Horror,Thriller",nm0755911,producer,producer,Peter Safran
tt4943218,The Worthy,2016,"Action,Sci-Fi,Thriller",nm0755911,producer,producer,Peter Safran
tt5140878,Annabelle: Creation,2017,"Horror,Mystery,Thriller",nm0755911,producer,producer,Peter Safran
tt5814060,The Nun,2018,"Horror,Mystery,Thriller",nm0755911,producer,producer,Peter Safran
tt8350360,Annabelle Comes Home,2019,"Horror,Mystery,Thriller",nm0755911,producer,producer,Peter Safran
tt4242100,My Father Die,2016,"Action,Drama",nm0000112,producer,producer,Pierce Brosnan
tt0460890,The Only Living Boy in New York,2017,Drama,nm0074100,producer,producer,Albert Berger
tt4364194,The Peanut Butter Falcon,2019,Adventure,nm0074100,producer,producer,Albert Berger
tt6662736,What They Had,2018,Drama,nm0074100,producer,producer,Albert Berger
tt0460890,The Only Living Boy in New York,2017,Drama,nm0947695,producer,producer,Ron Yerxa
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Music",nm0079677,producer,producer,Tim Bevan
tt1473832,Bridget Jones's Baby,2016,"Comedy,Drama,Romance",nm0079677,producer,producer,Tim Bevan
tt1758810,The Snowman,2017,"Crime,Drama,Mystery",nm0079677,producer,producer,Tim Bevan
tt2328900,Mary Queen of Scots,2018,"Biography,Drama,History",nm0079677,producer,producer,Tim Bevan
tt3890160,Baby Driver,2017,"Action,Crime,Drama",nm0079677,producer,producer,Tim Bevan
tt4555426,Darkest Hour,2017,"Biography,Drama,History",nm0079677,producer,producer,Tim Bevan
tt5466186,7 Days in Entebbe,2018,"Action,Drama,History",nm0079677,producer,producer,Tim Bevan
tt5697572,Cats,2019,"Animation,Comedy,Drama",nm0079677,producer,producer,Tim Bevan
tt5789976,King of Thieves,2018,"Crime,Drama",nm0079677,producer,producer,Tim Bevan
tt5816682,Victoria & Abdul,2017,"Biography,Drama,History",nm0079677,producer,producer,Tim Bevan
tt6811018,The Kid Who Would Be King,2019,"Action,Adventure,Family",nm0079677,producer,producer,Tim Bevan
tt6921996,Johnny English Strikes Again,2018,"Action,Adventure,Comedy",nm0079677,producer,producer,Tim Bevan
tt8079248,Yesterday,2019,"Comedy,Fantasy,Music",nm0079677,producer,producer,Tim Bevan
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Music",nm0271479,producer,producer,Eric Fellner
tt1473832,Bridget Jones's Baby,2016,"Comedy,Drama,Romance",nm0271479,producer,producer,Eric Fellner
tt2328900,Mary Queen of Scots,2018,"Biography,Drama,History",nm0271479,producer,producer,Eric Fellner
tt3890160,Baby Driver,2017,"Action,Crime,Drama",nm0271479,producer,producer,Eric Fellner
tt4555426,Darkest Hour,2017,"Biography,Drama,History",nm0271479,producer,producer,Eric Fellner
tt5466186,7 Days in Entebbe,2018,"Action,Drama,History",nm0271479,producer,producer,Eric Fellner
tt5697572,Cats,2019,"Animation,Comedy,Drama",nm0271479,producer,producer,Eric Fellner
tt5789976,King of Thieves,2018,"Crime,Drama",nm0271479,producer,producer,Eric Fellner
tt5816682,Victoria & Abdul,2017,"Biography,Drama,History",nm0271479,producer,producer,Eric Fellner
tt6811018,The Kid Who Would Be King,2019,"Action,Adventure,Family",nm0271479,producer,producer,Eric Fellner
tt6921996,Johnny English Strikes Again,2018,"Action,Adventure,Comedy",nm0271479,producer,producer,Eric Fellner
tt8079248,Yesterday,2019,"Comedy,Fantasy,Music",nm0271479,producer,producer,Eric Fellner
tt0490215,Silence,2016,"Adventure,Drama,History",nm0256542,producer,producer,Randall Emmett
tt1302006,The Irishman,2019,"Biography,Crime,Drama",nm0256542,producer,producer,Randall Emmett
tt1801552,Gotti,2018,"Biography,Crime,Drama",nm0256542,producer,producer,Randall Emmett
tt3481634,Inconceivable,2017,"Drama,Thriller",nm0256542,producer,producer,Randall Emmett
tt3588588,Backtrace,2018,"Crime,Drama",nm0256542,producer,producer,Randall Emmett
tt3963816,Marauders,2016,"Action,Crime,Mystery",nm0256542,producer,producer,Randall Emmett
tt4581576,Aftermath,2017,"Drama,Thriller",nm0256542,producer,producer,Randall Emmett
tt4651410,Precious Cargo,2016,"Action,Comedy,Crime",nm0256542,producer,producer,Randall Emmett
tt5884234,First Kill,2017,"Action,Thriller",nm0256542,producer,producer,Randall Emmett
tt6211976,A Vigilante,2018,"Crime,Drama,Mystery",nm0256542,producer,producer,Randall Emmett
tt6513656,Escape Plan 2: Hades,2018,"Action,Crime,Mystery",nm0256542,producer,producer,Randall Emmett
tt6547170,Reprisal,2018,"Action,Crime,Thriller",nm0256542,producer,producer,Randall Emmett
tt6684714,Acts of Violence,2018,"Action,Crime",nm0256542,producer,producer,Randall Emmett
tt7638348,Boss Level,2019,"Action,Sci-Fi,Thriller",nm0256542,producer,producer,Randall Emmett
tt8074486,The Row,2018,"Horror,Thriller",nm0256542,producer,producer,Randall Emmett
tt0490215,Silence,2016,"Adventure,Drama,History",nm0147603,producer,producer,Vittorio Cecchi Gori
tt0490215,Silence,2016,"Adventure,Drama,History",nm0208381,producer,producer,Barbara De Fina
tt4034228,Manchester by the Sea,2016,Drama,nm0000354,producer,producer,Matt Damon
tt0491175,Suburbicon,2017,"Comedy,Crime,Drama",nm3267061,producer,producer,Teddy Schwarzman
tt1800302,Gold,2016,"Adventure,Drama,Thriller",nm3267061,producer,producer,Teddy Schwarzman
tt5477566,Barry,2016,"Biography,Drama",nm3267061,producer,producer,Teddy Schwarzman
tt6063090,Light of My Life,2019,Drama,nm3267061,producer,producer,Teddy Schwarzman
tt7545524,Ben Is Back,2018,Drama,nm3267061,producer,producer,Teddy Schwarzman
tt0491203,Tulip Fever,2017,"Drama,History,Romance",nm0654077,producer,producer,Alison Owen
tt2674426,Me Before You,2016,"Drama,Romance",nm0654077,producer,producer,Alison Owen
tt4193072,How to Build a Girl,2019,Comedy,nm0654077,producer,producer,Alison Owen
tt0491203,Tulip Fever,2017,"Drama,History,Romance",nm0005544,producer,producer,Harvey Weinstein
tt0493076,Nina,2016,"Biography,Drama,Music",nm4695347,producer,producer,Benjamin Latham
tt3215826,Kids in Love,2016,"Drama,Romance",nm4695347,producer,producer,Benjamin Latham
tt0493076,Nina,2016,"Biography,Drama,Music",nm1274416,producer,producer,Stuart Parr
tt0493076,Nina,2016,"Biography,Drama,Music",nm0859877,producer,producer,Barnaby Thompson
tt3215826,Kids in Love,2016,"Drama,Romance",nm0859877,producer,producer,Barnaby Thompson
tt0493405,CHIPS,2017,"Action,Comedy,Crime",nm0576571,producer,producer,Ravi D. Mehta
tt3462710,Unforgettable,2017,"Drama,Thriller",nm0576571,producer,producer,Ravi D. Mehta
tt8544498,Torrance,2019,"Drama,Sport",nm0576571,producer,producer,Ravi D. Mehta
tt0493405,CHIPS,2017,"Action,Comedy,Crime",nm0659123,producer,producer,Andrew Panay
tt0498381,Rings,2017,"Drama,Horror,Mystery",nm0531827,producer,producer,Laurie MacDonald
tt2283336,Men in Black: International,2019,"Action,Adventure,Comedy",nm0531827,producer,producer,Laurie MacDonald
tt2387499,Keeping Up with the Joneses,2016,"Action,Comedy",nm0531827,producer,producer,Laurie MacDonald
tt1972591,King Arthur: Legend of the Sword,2017,"Action,Adventure,Drama",nm0326040,producer,producer,Akiva Goldsman
tt0765465,The Legend of Secret Pass,2019,"Animation,Family,Fantasy",nm1453625,producer,producer,Billy Jones
tt0765465,The Legend of Secret Pass,2019,"Animation,Family,Fantasy",nm0971890,producer,producer,Chris Henderson
tt0775440,Cell,2016,"Action,Drama,Horror",nm0764552,producer,producer,Richard Saperstein
tt0775440,Cell,2016,"Action,Drama,Horror",nm2918260,producer,producer,Michael Benaroya
tt3813094,Against the Clock,2019,Thriller,nm2918260,producer,producer,Michael Benaroya
tt4441150,Salt and Fire,2016,Thriller,nm2918260,producer,producer,Michael Benaroya
tt6089358,Haunting on Fraternity Row,2018,Horror,nm2918260,producer,producer,Michael Benaroya
tt0775440,Cell,2016,"Action,Drama,Horror",nm2951267,producer,producer,Shara Kay
tt0783640,The Last Full Measure,2019,"Drama,War",nm2983515,producer,producer,Adi Cohen
tt5878656,The Biggest Thing That Ever Hit Broadway: Redux,2017,Musical,nm2983515,producer,producer,Adi Cohen
tt5241356,The Freedom to Marry,2016,Documentary,nm0733149,producer,producer,Todd Robinson
tt0783640,The Last Full Measure,2019,"Drama,War",nm0011104,producer,producer,Julian Adams
tt0783640,The Last Full Measure,2019,"Drama,War",nm2471372,producer,producer,Michael Bassick
tt0783640,The Last Full Measure,2019,"Drama,War",nm0091579,producer,producer,Timothy Scott Bogart
tt0783640,The Last Full Measure,2019,"Drama,War",nm7105194,producer,producer,Nicholas Cafritz
tt4651666,Camera Store,2017,Drama,nm7105194,producer,producer,Nicholas Cafritz
tt8425034,Bit,2019,"Comedy,Horror",nm7105194,producer,producer,Nicholas Cafritz
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",nm0746273,producer,producer,Charles Roven
tt1386697,Suicide Squad,2016,"Action,Adventure,Fantasy",nm0746273,producer,producer,Charles Roven
tt1488606,Triple Frontier,2019,"Action,Adventure,Crime",nm0746273,producer,producer,Charles Roven
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",nm1568035,producer,producer,Stuart Fenegan
tt1464763,Mute,2018,"Mystery,Sci-Fi,Thriller",nm1568035,producer,producer,Stuart Fenegan
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",nm0308672,producer,producer,Alex Gartner
tt1488606,Triple Frontier,2019,"Action,Adventure,Crime",nm0308672,producer,producer,Alex Gartner
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",nm0419169,producer,producer,Jon Jashni
tt3741700,Godzilla: King of the Monsters,2019,"Action,Adventure,Fantasy",nm0419169,producer,producer,Jon Jashni
tt8219520,"Ayotzinapa, El paso de la Tortuga",2018,Documentary,nm0868219,producer,producer,Guillermo del Toro
tt8085790,Little,2019,"Comedy,Fantasy,Romance",nm1244069,producer,producer,Kenya Barris
tt0825283,Maximum Ride,2016,"Action,Adventure,Comedy",nm8208372,producer,producer,Amee Dolleman
tt5512872,Be Somebody,2016,"Comedy,Drama,Romance",nm8208372,producer,producer,Amee Dolleman
tt0825283,Maximum Ride,2016,"Action,Adventure,Comedy",nm0083035,producer,producer,Gary Binkow
tt3671086,Natural Born Pranksters,2016,Comedy,nm0083035,producer,producer,Gary Binkow
tt4667854,SiREN,2016,"Fantasy,Horror",nm0083035,producer,producer,Gary Binkow
tt5512872,Be Somebody,2016,"Comedy,Drama,Romance",nm0083035,producer,producer,Gary Binkow
tt0835802,Krystal,2017,"Comedy,Drama",nm2149083,producer,producer,Dan Keston
tt0835802,Krystal,2017,"Comedy,Drama",nm0292647,producer,producer,Rachel Winter
tt0837156,Pee-wee's Big Holiday,2016,"Adventure,Comedy,Family",nm0031976,producer,producer,Judd Apatow
tt3960412,Popstar: Never Stop Never Stopping,2016,"Comedy,Music",nm0031976,producer,producer,Judd Apatow
tt5462602,The Big Sick,2017,"Comedy,Drama,Romance",nm0031976,producer,producer,Judd Apatow
tt5607096,"Juliet, Naked",2018,"Comedy,Drama,Music",nm0031976,producer,producer,Judd Apatow
tt0837563,Pet Sematary,2019,"Horror,Mystery,Thriller",nm0225146,producer,producer,Lorenzo di Bonaventura
tt1458169,Kidnap,2017,"Crime,Drama,Thriller",nm0225146,producer,producer,Lorenzo di Bonaventura
tt1734493,Unlocked,2017,"Action,Drama,Mystery",nm0225146,producer,producer,Lorenzo di Bonaventura
tt2924392,Higher Power,2018,"Action,Sci-Fi,Thriller",nm0225146,producer,producer,Lorenzo di Bonaventura
tt3829920,Only the Brave,2017,"Action,Biography,Drama",nm0225146,producer,producer,Lorenzo di Bonaventura
tt4154916,Replicas,2018,"Drama,Sci-Fi,Thriller",nm0225146,producer,producer,Lorenzo di Bonaventura
tt4701182,Bumblebee,2018,"Action,Adventure,Sci-Fi",nm0225146,producer,producer,Lorenzo di Bonaventura
tt7374952,El Chicano,2018,Drama,nm0225146,producer,producer,Lorenzo di Bonaventura
tt0838194,Retreat!,2016,"Comedy,Drama,War",nm1406766,producer,producer,Dustin Harris
tt2488666,The Malibu Tapes,2019,"Horror,Thriller",nm1406766,producer,producer,Dustin Harris
tt3278988,The Triangle,2016,"Horror,Mystery",nm0310887,producer,producer,Gill Gayle
tt0848554,The Sighting,2016,"Horror,Sci-Fi,Thriller",nm3449616,producer,producer,J.T. Boone
tt0850247,Amsteroid,2018,Sci-Fi,nm1282690,producer,producer,Diane Cheklich
tt0858419,Bolden,2019,Drama,nm0180390,producer,producer,Jonathan Cornick
tt0858419,Bolden,2019,Drama,nm2384882,producer,producer,Michele Tayler
tt6045522,From Scratch: The Birth of Hip Hop,2017,"Biography,Documentary,History",nm0501399,producer,producer,Steve Lemme
tt0859635,Super Troopers 2,2018,"Comedy,Crime,Mystery",nm0673270,producer,producer,Richard Perello
tt2704998,Game Night,2018,"Action,Comedy,Crime",nm2470810,producer,producer,John Fox
tt8526872,Dolemite Is My Name,2019,"Biography,Drama",nm2470810,producer,producer,John Fox
tt2704998,Game Night,2018,"Action,Comedy,Crime",nm0204862,producer,producer,John Davis
tt3829266,The Predator,2018,"Action,Adventure,Sci-Fi",nm0204862,producer,producer,John Davis
tt4463894,Shaft,2019,"Action,Comedy,Crime",nm0204862,producer,producer,John Davis
tt8526872,Dolemite Is My Name,2019,"Biography,Drama",nm0204862,producer,producer,John Davis
tt0874268,The Dot Man,2017,"Drama,Thriller",nm0002625,producer,producer,Alison E. McBryde
tt0891581,RxCannabis: A Freedom Tale,2018,Documentary,nm1126512,producer,producer,Claudio Laniado
tt0891581,RxCannabis: A Freedom Tale,2018,Documentary,nm0486799,producer,producer,Jos Laniado
tt0906327,The Unlikely's,2016,Comedy,nm2571974,producer,producer,Michael L. Ross
tt0906327,The Unlikely's,2016,Comedy,nm2570888,producer,producer,Eldora Cornatzar
tt0906327,The Unlikely's,2016,Comedy,nm0458628,producer,producer,Jordan Klein Jr.
tt0906327,The Unlikely's,2016,Comedy,nm2472890,producer,producer,John Mullis
tt0918940,The Legend of Tarzan,2016,"Action,Adventure,Drama",nm0525059,producer,producer,Tony Ludwig
tt0918940,The Legend of Tarzan,2016,"Action,Adventure,Drama",nm0057655,producer,producer,David Barron
tt2388771,Mowgli: Legend of the Jungle,2018,"Adventure,Drama,Fantasy",nm0057655,producer,producer,David Barron
tt4463816,Terminal,2018,"Crime,Drama,Thriller",nm0057655,producer,producer,David Barron
tt5866950,War of the Limelight,2016,"Drama,Romance,Thriller",nm2495458,producer,producer,Michael Buffo
tt0933876,June 9,2018,"Horror,Mystery,Thriller",nm0250070,producer,producer,James L. Edwards
tt0972544,Back Roads,2018,"Crime,Drama,Thriller",nm8575371,producer,producer,Craig Robinson
tt0972544,Back Roads,2018,"Crime,Drama,Thriller",nm8580524,producer,producer,Ashley Mansour
tt0972544,Back Roads,2018,"Crime,Drama,Thriller",nm0645164,producer,producer,Michael Ohoven
tt1139592,Jeepers Creepers III,2017,"Action,Horror,Mystery",nm0645164,producer,producer,Michael Ohoven
tt4997858,Risen: The Story of Chron 'Hell Razah' Smith,2018,Documentary,nm0006366,producer,producer,Sean Albertson
tt6992230,Cold Brook,2018,Drama,nm0167649,producer,producer,Kim Coates
tt1366338,Lowriders,2016,"Adventure,Crime,Drama",nm0089658,producer,producer,Jason Blum
tt1799516,Benji,2018,"Crime,Drama,Family",nm0089658,producer,producer,Jason Blum
tt1878841,The Darkness,2016,"Horror,Thriller",nm0089658,producer,producer,Jason Blum
tt1935897,Amityville: The Awakening,2017,"Horror,Thriller",nm0089658,producer,producer,Jason Blum
tt2069797,Delirium,2018,"Horror,Thriller",nm0089658,producer,producer,Jason Blum
tt2597892,Viral,2016,"Drama,Horror,Sci-Fi",nm0089658,producer,producer,Jason Blum
tt3216348,Incarnate,2016,"Horror,Thriller",nm0089658,producer,producer,Jason Blum
tt3533916,The Veil,2016,Horror,nm0089658,producer,producer,Jason Blum
tt3608930,In a Valley of Violence,2016,"Action,Crime,Drama",nm0089658,producer,producer,Jason Blum
tt3829378,Stephanie,2017,"Horror,Mystery",nm0089658,producer,producer,Jason Blum
tt4094724,The Purge: Election Year,2016,"Action,Horror,Sci-Fi",nm0089658,producer,producer,Jason Blum
tt4269118,Seven in Heaven,2018,"Drama,Horror,Mystery",nm0089658,producer,producer,Jason Blum
tt4361050,Ouija: Origin of Evil,2016,"Drama,Horror,Mystery",nm0089658,producer,producer,Jason Blum
tt4761916,Unfriended: Dark Web,2018,"Crime,Horror,Mystery",nm0089658,producer,producer,Jason Blum
tt4972582,Split,2016,"Horror,Thriller",nm0089658,producer,producer,Jason Blum
tt5022702,Hush,2016,"Horror,Thriller",nm0089658,producer,producer,Jason Blum
tt5052448,Get Out,2017,"Horror,Mystery,Thriller",nm0089658,producer,producer,Jason Blum
